"id","author","title","price","can_be_sold","category"
106445,Yêda Schmaltz,A Chuva de Ouro,1.00,no,Infantojuvenil
106716,Franz Kafka,A Metamorfose,49.90,yes,Ficção
106740,Sun Tzu,A Arte da Guerra,49.90,yes,Empresas e Negócios
107041,Irmãos Grimm,João e Maria,9.90,yes,Infantojuvenil
107042,Irmãos Grimm,Sete Corvos,9.90,yes,Infantojuvenil
107043,Irmãos Grimm,Velho Sultão,9.90,yes,Infantojuvenil
107044,Irmãos Grimm,O Lobo e os Sete Cabritos,9.90,yes,Infantojuvenil
107046,Irmãos Grimm,Irmãzinha e Irmãozinho,9.90,yes,Infantojuvenil
107047,Joseph Jacobs,Os Três Porquinhos,9.90,yes,Infantojuvenil
107048,Irmãos Grimm,O Ganso de Ouro,9.90,yes,Infantojuvenil
107049,Irmãos Grimm,O Sapo e a Princesa,9.90,yes,Infantojuvenil
107050,Irmãos Grimm,O Pescador e sua Esposa,9.90,yes,Infantojuvenil
107051,Irmãos Grimm,Branca de Neve,9.90,yes,Infantojuvenil
107052,Irmãos Grimm,A Bela Adormecida ,9.90,yes,Infantojuvenil
107053,Charles Perrault,Chapeuzinho Vermelho,9.90,yes,Infantojuvenil
107054,Irmãos Grimm,Cinderela,9.90,yes,Infantojuvenil
107055,Irmãos Grimm,Rumpelstiltskin o Anão Saltador,9.90,yes,Infantojuvenil
107237,Irmãos Grimm,O Alfaiatezinho Valente,9.90,yes,Infantojuvenil
107238,Hans Christian Andersen,A Roupa Nova do Imperador,9.90,yes,Infantojuvenil
107239,Charles Perrault,O Gato de Botas,9.90,yes,Infantojuvenil
107240,Irmãos Grimm,O Osso Cantador,9.90,yes,Infantojuvenil
107241,Irmãos Grimm,As Três Fiandeiras,9.90,yes,Infantojuvenil
107247,Gabrielle Suzanne Barbot,A Bela e a Fera,9.90,yes,Infantojuvenil
107248,Irmãos Grimm,Jorinda e Joringel,9.90,yes,Infantojuvenil
107249,Hans Christian Andersen,O Patinho Feio,9.90,yes,Infantojuvenil
107263,Irmãos Grimm,As 3 Folhas da Serpente,9.90,yes,Infantojuvenil
107265,Irmãos Grimm,Elsie a Sensata,9.90,yes,Infantojuvenil
108818,Irmãos Grimm,Os Filhos de Ouro,9.90,yes,Infantojuvenil
108819,Irmãos Grimm,O Pequeno Polegar,9.90,yes,Infantojuvenil
108820,Hans Christian Andersen,O Soldadinho de Chumbo,9.90,yes,Infantojuvenil
108821,Hans Christian Andersen,O Rouxinol do Imperador,9.90,yes,Infantojuvenil
108822,Irmãos Grimm,O Alfaiatezinho Esperto,9.90,yes,Infantojuvenil
109736,Irmãos Grimm,A Palhinha a Brasa e o Feijão,9.90,yes,Infantojuvenil
109737,Irmãos Grimm,O Mingau,9.90,yes,Infantojuvenil
109738,Irmãos Grimm,Os Músicos,9.90,yes,Infantojuvenil
109739,Irmãos Grimm,O Pastorzinho,9.90,yes,Infantojuvenil
109740,Irmãos Grimm,O Pequeno Camponês,9.90,yes,Infantojuvenil
109742,Varios,Poemas de Natal,29.90,yes,Ficção
109743,Varios,Contos de Natal - Volume 1,29.90,yes,Ficção
109744,Varios,Contos de Natal - Volume 2,29.90,yes,Ficção
